administrative_area_level_1,administrative_area_level_2,city,latitude,longitude,sa_clli
Ontario,Algoma District,Thessalon,46.255466,-83.55766,TSLNON82
Ontario,Regional Municipality of York,Markham,43.83347,-79.32027,UNVLONAA
Ontario,Regional Municipality of York,Markham,43.816584,-79.338284,UNVLONSA
Ontario,Regional Municipality of York,Vaughan,43.781676,-79.583815,WDBGON48
Ontario,Sudbury District,Ramsey,47.514167,-82.586944,WMLKONAA
Nova Scotia,Cumberland County,Southampton,45.687889,-64.214832,ATHONSAA
New Brunswick,Victoria County,Hazeldean,46.949245,-67.535047,BLUBNBAA
New Brunswick,Queens County,Chipman,46.17633855,-65.87484477,CHMNNBAE
Nova Scotia,Halifax Regional Municipality,Dartmouth,44.69755192,-63.58078223,DRMONSAP
Nova Scotia,Halifax Regional Municipality,Dartmouth,44.66916,-63.5766,DRMONSHI
Nova Scotia,Halifax Regional Municipality,Dartmouth,44.70721,-63.61255,DRMONS05
New Brunswick,Madawaska County,Edmundston,47.360706,-68.341,EDMNNBAG
New Brunswick,York County,Beaver Dam,45.9605274,-66.6422329,FCTNNBSC
Nova Scotia,Halifax Regional Municipality,Halifax,44.6550143,-63.5943434,HLFXNS01
Nova Scotia,Halifax Regional Municipality,Halifax,44.64974,-63.5763,HLFXNSAK
Nova Scotia,Halifax Regional Municipality,Halifax,44.652417,-63.5748072,HLFXNSAL
Nova Scotia,Halifax Regional Municipality,Halifax,44.65106,-63.57776,HLFXNSCG
Nova Scotia,Halifax Regional Municipality,Halifax,44.65864504,-63.60278937,HLFXNSYT
New Brunswick,Westmorland County,Moncton,46.078168,-64.793419,MCTNNBDS
New Brunswick,Westmorland County,Moncton,46.08967,-64.77669,MCTNNBSA
New Brunswick,Westmorland County,Moncton,46.134573,-64.718583,MCTONBCK
New Brunswick,York County,Napadogan,46.412704,-66.933952,NPGNNBAA
Newfoundland and Labrador,Newfoundland and Labrador,St. John's,47.56156927,-52.77533556,STJHNF01
Nova Scotia,Colchester County,Truro,45.362575,-63.273801,TRURNSAQ
Quebec,Côte-Nord,L'Île-Michon,50.23499939,-62.05903446,AGSHPQ
Quebec,Côte-Nord,Baie-Johan-Beetz,50.293024,-62.801703,BJBTPQ
Quebec,Côte-Nord,Havre-Saint-Pierre,50.24409891,-63.59176094,HSTPPQ
Quebec,Côte-Nord,Longue-Pointe-de-Mingan,50.29803182,-63.88643978,HSTPPQ
Quebec,Côte-Nord,Kegashka,50.180059,-61.266595,NTQNPQ
Quebec,Côte-Nord,Longue-Pointe-de-Mingan,50.267272,-64.141161,RSTJPQ
Quebec,Côte-Nord,Natashquan,50.18456549,-61.81453228,NTQNPQ
Quebec,Côte-Nord,Port-Menier,49.8254292,-64.36447875,PTMRPQ
Quebec,Côte-Nord,Rivière-au-Tonnerre,50.276296,-64.764302,RATRPQ
Quebec,Côte-Nord,Rivière-Saint-Jean,50.31302324,-64.49841387,RSTJPQ
California,Los Angeles County,Los Angeles,34.047901,-118.255524,LSANCARC
Quebec,Chaudière-Appalaches,Armagh,46.717341,-70.591645,ARMGPQ
Quebec,Chaudière-Appalaches,Notre-Dame-Auxiliatrice-de-Buckland,46.64635,-70.58199,STDBPQ
Quebec,Chaudière-Appalaches,Berthier-sur-Mer,46.924809,-70.731643,SFSMPQ
Quebec,Bas-Saint-Laurent,Témiscouata-sur-le-Lac,47.357737,-69.719195,MTMGPQ
Quebec,Chaudière-Appalaches,Cap-Saint-Ignace,47.008357,-70.450749,CSTIPQ
Quebec,Chaudière-Appalaches,Saint-Damase-de-L'Islet,47.117219,-70.130088,SJPJPQ
Quebec,Chaudière-Appalaches,Saint-Antoine-de-l'Isle-aux-Grues,47.062211,-70.547912,IGRUPQ
Quebec,Chaudière-Appalaches,Saint-Aubert,47.131233,-70.185636,SJPJPQ
Quebec,Chaudière-Appalaches,Saint-Cyrille-de-Lessard,47.06611,-70.139036,STPRPQ
Quebec,Chaudière-Appalaches,Saint-Vallier,46.868519,-70.796904,SMBLPQ
Quebec,Chaudière-Appalaches,La Durantaye,46.800501,-70.864477,SMBLPQ
Quebec,Chaudière-Appalaches,L'Islet,47.138551,-70.352197,LISTPQ
Quebec,Bas-Saint-Laurent,La Pocatière,47.361029,-70.025203,LPCTPQ
Quebec,Chaudière-Appalaches,Saint-Philémon,46.622842,-70.486565,SPMTPQ
Quebec,Chaudière-Appalaches,Montmagny,46.970119,-70.573752,MTMGPQ
Quebec,Chaudière-Appalaches,Notre-Dame-du-Rosaire,46.82178,-70.386164,SPMTPQ
Quebec,Chaudière-Appalaches,Saint-Adalbert,46.823922,-69.956143,STPMPQ
Quebec,Chaudière-Appalaches,Sainte-Apolline-de-Patton,46.782503,-70.232573,SPMTPQ
Quebec,Chaudière-Appalaches,Saint-Charles-de-Bellechasse,46.761028,-70.950458,SCSBPQ
Quebec,Chaudière-Appalaches,Saint-Cyrille-de-Lessard,47.036621,-70.274665,LISTPQ
Quebec,Chaudière-Appalaches,Sainte-Euphémie-sur-Rivière-du-Sud,46.771144,-70.44337,SPMTPQ
Quebec,Chaudière-Appalaches,Sainte-Félicité,46.964891,-69.949271,STPRPQ
Quebec,Chaudière-Appalaches,Saint-François-de-la-Rivière-du-Sud,46.879085,-70.677162,SFSMPQ
Quebec,Chaudière-Appalaches,Lamartine,47.084432,-70.337707,LISTPQ
Quebec,Chaudière-Appalaches,Saint-Gervais,46.71355,-70.888204,SCSBPQ
Quebec,Chaudière-Appalaches,Saint-Jean-Port-Joli,47.212925,-70.21697,SJPJPQ
Quebec,Chaudière-Appalaches,Saint-Michel-de-Bellechasse,46.8743,-70.909935,SMBLPQ
Quebec,Chaudière-Appalaches,Saint-Marcel,46.896181,-70.063843,STPMPQ
Quebec,Chaudière-Appalaches,Saint-Nérée-de-Bellechasse,46.691584,-70.681827,ARMGPQ
Quebec,Chaudière-Appalaches,Saint-Omer,47.056667,-69.731673,STPMPQ
Quebec,Chaudière-Appalaches,Saint-Pierre-de-la-Rivière-du-Sud,46.916397,-70.628673,MTMGPQ
Quebec,Chaudière-Appalaches,Saint-Paul-de-Montminy,46.724271,-70.367002,SPMTPQ
Quebec,Chaudière-Appalaches,Saint-Roch-des-Aulnaies,47.309929,-70.174785,SRALPQ
Quebec,Chaudière-Appalaches,Saint-Raphaël,46.819339,-70.788445,SRDBPQ
Quebec,Chaudière-Appalaches,Saint-Damien-de-Buckland,46.623439,-70.655683,STDBPQ
Quebec,Chaudière-Appalaches,Sainte-Louise,47.279622,-70.13424,SRALPQ
Quebec,Chaudière-Appalaches,Saint-Pamphile,46.937321,-69.810993,STPMPQ
Quebec,Chaudière-Appalaches,Sainte-Perpétue,47.086695,-69.929545,STPRPQ
Quebec,Chaudière-Appalaches,Tourville,47.089432,-69.97687,STPRPQ
Quebec,Abitibi-Témiscamingue,Amos,48.574867,-78.125521,AMOSPQ
Quebec,Montérégie,Boucherville,45.6099,-73.452,BHVLPQ
Quebec,Montérégie,Beloeil,45.573633,-73.201707,BLOLPQ
Quebec,Lanaudière,Berthierville,46.085701,-73.178523,BRTVPQ
Quebec,Montérégie,Brossard,45.47384,-73.469739,BSSDPQ
Quebec,Laval,Laval,45.548425,-73.744238,CHOMPQ
Quebec,Montérégie,Chambly,45.444202,-73.310652,CMBYPQ
Quebec,Estrie,Coaticook,45.123989,-71.809924,CTCKPQ
Quebec,Montérégie,Châteauguay,45.361337,-73.734691,CTGYPQ
Quebec,Estrie,Cowansville,45.204772,-72.746995,CWVLPQ
Quebec,Montérégie,La Prairie,45.3767194,-73.5370083,SCONPQ
Quebec,Centre-du-Québec,Drummondville,45.881099,-72.482777,DRUMPQ
Quebec,Montreal,Dorval,45.477726,-73.787953,PNCLPQ
Quebec,Outaouais,Gracefield,46.089456,-76.05332,GRFDPQ
Quebec,Estrie,Granby,45.400198,-72.722261,GRNBPQ
Quebec,Outaouais,Gatineau,45.494029,-75.634646,HULLPQ
Quebec,Lanaudière,Joliette,46.013893,-73.451092,JOLTPQ
Quebec,Montreal,Montreal,45.457903,-73.704765,LCHNPQ
Quebec,Montérégie,Lacolle,45.08713872,-73.37192667,LCOLPQ
