Id,Techno,Eqpt_Mod,Act,,Act_desc,Avg_single,PS50_Plan,PS50_Act,Avg_Actual
706,9,100,DESN,1,Ajout de facilité,3.3,2,0,0
707,9,100,DFOT,6,Ajout de facilité,3.3,3,0,
708,9,100,DESN,1,Enlèvement carte,5.7,7,0,2
709,9,100,DFOT,6,Enlèvement carte,0,0,0,6
710,9,100,DESN,1,Enlèvement de facilité,1.3,2,0,
711,9,100,DFOT,6,Enlèvement de facilité,1.8,1,0,
712,9,100,DESN,1,Décommission,1.1,1,0,
713,9,100,DFOT,6,Décommission,0,0,0,
714,5,108,DESN,1,Ajout de facilité,0,0,0,
715,5,108,DPSW,3,Ajout de facilité,0,0,0,
716,5,109,DESN,1,Ajout de facilité,0,0,0,
717,5,109,DPSW,3,Ajout de facilité,0,0,0,
